Patient_ID,tumor_GIS_variance
CID3586,2.9163253788081
CID3838,9.4008904833735
CID3921,0.221514559834873
CID3941,2.52127216279165
CID3946,0.230227457525091
CID3948,0.34436704006565
CID3963,1.75577061375925
CID4040,0.63086281908373
CID4066,0.536528381004151
CID4067,0.107184392220899
CID4290A,0.0722059435195568
CID4398,7.2585432962361
CID4461,0.219641641550605
CID4463,17.3219668250062
CID4465,4.53734598467548
CID4471,0.556672005731155
CID4495,2.02904976583367
CID4513,0.503362351901335
CID4515,21.0938499583791
CID4523,45.0456518058483
CID4530N,8.79816838846954
CID4535,5.35969129964736
CID44041,0.460691515593104
CID44971,0.189338715806259
CID44991,0.0551134942214083
CID45171,1.30223114505322
